employee_id,date,event_type,value,absence_type,age,gender,department,job_level,salary,hire_date,left_company
1,2022-04-17,absence,13,vacation,51,m,HR,2,59206,2007-05-16 16:24:41.007228,0
1,2022-03-13,absence,5,vacation,51,m,HR,2,59206,2007-05-16 16:24:41.007228,0
1,2022-07-08,absence,1,vacation,51,m,HR,2,59206,2007-05-16 16:24:41.007228,0
1,2022-01-21,absence,11,vacation,51,m,HR,2,59206,2007-05-16 16:24:41.007228,0
1,2022-08-03,absence,3,sick,51,m,HR,2,59206,2007-05-16 16:24:41.007228,0
1,2023-11-05,absence,13,vacation,51,m,HR,2,59206,2007-05-16 16:24:41.007228,0
1,2023-09-15,absence,7,vacation,51,m,HR,2,59206,2007-05-16 16:24:41.007228,0
1,2023-12-10,absence,2,vacation,51,m,HR,2,59206,2007-05-16 16:24:41.007228,0
1,2023-10-21,absence,8,vacation,51,m,HR,2,59206,2007-05-16 16:24:41.007228,0
1,2023-10-04,absence,1,sick,51,m,HR,2,59206,2007-05-16 16:24:41.007228,0
1,2024-02-28,absence,14,vacation,51,m,HR,2,59206,2007-05-16 16:24:41.007228,0
1,2024-06-18,absence,5,vacation,51,m,HR,2,59206,2007-05-16 16:24:41.007228,0
1,2024-07-06,absence,1,vacation,51,m,HR,2,59206,2007-05-16 16:24:41.007228,0
1,2024-09-27,absence,10,vacation,51,m,HR,2,59206,2007-05-16 16:24:41.007228,0
1,2024-02-24,absence,3,sick,51,m,HR,2,59206,2007-05-16 16:24:41.007228,0
1,2024-08-31,absence,2,sick,51,m,HR,2,59206,2007-05-16 16:24:41.007228,0
2,2022-11-25,absence,12,vacation,49,d,Sales,3,55556,2026-05-11 16:24:41.007228,1
2,2022-06-16,absence,7,vacation,49,d,Sales,3,55556,2026-05-11 16:24:41.007228,1
2,2022-10-01,absence,1,vacation,49,d,Sales,3,55556,2026-05-11 16:24:41.007228,1
2,2022-03-30,absence,10,vacation,49,d,Sales,3,55556,2026-05-11 16:24:41.007228,1
2,2022-12-06,absence,2,sick,49,d,Sales,3,55556,2026-05-11 16:24:41.007228,1
2,2022-04-02,absence,2,sick,49,d,Sales,3,55556,2026-05-11 16:24:41.007228,1
2,2022-09-21,absence,1,sick,49,d,Sales,3,55556,2026-05-11 16:24:41.007228,1
2,2022-02-04,absence,2,sick,49,d,Sales,3,55556,2026-05-11 16:24:41.007228,1
2,2022-07-25,absence,5,sick,49,d,Sales,3,55556,2026-05-11 16:24:41.007228,1
2,2022-03-22,absence,2,sick,49,d,Sales,3,55556,2026-05-11 16:24:41.007228,1
2,2023-02-23,absence,11,vacation,49,d,Sales,3,55556,2026-05-11 16:24:41.007228,1
2,2023-04-16,absence,6,vacation,49,d,Sales,3,55556,2026-05-11 16:24:41.007228,1
2,2023-09-17,absence,2,vacation,49,d,Sales,3,55556,2026-05-11 16:24:41.007228,1
2,2023-11-06,absence,11,vacation,49,d,Sales,3,55556,2026-05-11 16:24:41.007228,1
